library,lib_version,torch,cuda,device,spec,batch_size,n_voxels,n_params,precision,ok,error,fwd_ms,fwd_ms_std,fwdbwd_ms,fwdbwd_ms_std,mem_fwd_mb,mem_fwdbwd_mb,mem_fwdbwd_reserved_mb,kvox_s
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,small,1,4690,1467216,bf16,True,,2.4205119609832764,0.007844246925923438,5.686511993408203,0.014211129375711194,84.327936,88.94208,104.8576,824.4198286839885
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,small,2,7299,1467216,bf16,True,,2.4431040287017822,0.05503273664135714,5.771696090698242,0.008240733108094497,87.032832,94.884864,115.34336,1264.2553536433857
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,small,4,18984,1467216,bf16,True,,2.5578880310058594,0.00606236600167958,6.356607913970947,0.031467393816158755,105.67424,133.10464,142.606336,2982.9715476409647
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,small,8,30392,1467216,bf16,True,,2.6999679803848267,0.006990546736977449,7.0720319747924805,0.007790584601867619,120.615936,165.282304,186.646528,4297.725249276471
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,small,16,56700,1467216,bf16,True,,2.997983932495117,0.007834882889645033,8.512975692749023,0.18847017873357916,149.037056,236.30848,274.726912,6632.1961791522235
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,medium,1,4690,10567200,bf16,True,,5.56166410446167,0.0066395918104360345,15.517312049865723,0.014225073919945607,160.400384,175.901184,220.20096,302.28423245672104
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,medium,2,7299,10567200,bf16,True,,5.596719980239868,0.008565837965864896,15.868160247802734,0.015684532440513346,168.65792,192.73472,226.492416,460.0004111434459
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,medium,4,18984,10567200,bf16,True,,6.070111989974976,0.07382977696262498,18.565760612487793,0.1769717519160917,196.5184,295.758848,333.447168,1018.6280005326472
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,medium,8,30392,10567200,bf16,True,,6.575199842453003,0.008109871164630455,21.00603199005127,0.17140047142740966,218.222592,381.965312,482.34496,1441.7855636267325
minkowski,MinkowskiEngine 0.5.4,2.5.1+cu121,12.1,NVIDIA H200 NVL,medium,16,56700,10567200,bf16,True,,8.10534381866455,0.01038156429630392,29.993711471557617,0.08290834998007844,265.884672,590.040064,702.54592,1891.5506323875152
